
====================================================================================================
WINDOW since 09-22 13:30Z: 358 closed trades/settlements
fees paid on fills by book (both legs): {'alpaca-paper': 10.28, 'kalshi-shadow': 25.55, 'kalshi': 0.2, 'alpaca': 0.03}

### by book: key | agent P&L $ | n | per trade $ | House-exit P&L $ | n_house | notional $
kalshi-shadow | -361.25 | 150 | -2.408 | -26.92 | 24 | 1925
### by book x agent (worst 25): key | agent P&L $ | n | per trade $ | House-exit P&L $ | n_house | notional $
('kalshi-shadow', 'hilibrand-h6ca596') | -60.37 | 3 | -20.123 | +0.00 | 0 | 60
('kalshi-shadow', 'hilibrand-hc4567e') | -53.31 | 7 | -7.616 | +0.00 | 0 | 164
('kalshi-shadow', 'huang-h427345') | -25.21 | 7 | -3.601 | +0.00 | 0 | 156
('kalshi-shadow', 'huang-h4ee182') | -21.60 | 1 | -21.600 | +0.00 | 0 | 22
('kalshi-shadow', 'huang-h6d3302-2') | -16.06 | 6 | -2.677 | +0.00 | 0 | 24
('alpaca-paper', 'krasker-10') | -15.00 | 1 | -15.000 | +0.00 | 0 | 27
('kalshi-shadow', 'huang-h6d3302') | -13.79 | 12 | -1.149 | +0.00 | 0 | 110
('kalshi-shadow', 'huang-h51fdd3') | -13.14 | 2 | -6.571 | +0.00 | 0 | 13
('alpaca-paper', 'krasker-6') | -12.00 | 3 | -4.000 | +0.00 | 0 | 36
('kalshi-shadow', 'huang-h609d6f') | -11.43 | 2 | -5.716 | +0.00 | 0 | 23
('kalshi-shadow', 'huang-l23cdb7') | -11.11 | 3 | -3.704 | +0.00 | 0 | 27
('kalshi-shadow', 'mullins-14') | -8.20 | 3 | -2.733 | +0.00 | 0 | 29
('alpaca-paper', 'haghani-51') | -6.64 | 7 | -0.948 | +0.00 | 0 | 272
('alpaca-paper', 'haghani-53') | -6.48 | 8 | -0.810 | +0.00 | 0 | 313
('alpaca-paper', 'haghani-52') | -6.41 | 12 | -0.534 | +0.00 | 0 | 318
('alpaca-paper', 'haghani-55') | -6.39 | 4 | -1.597 | +0.00 | 0 | 153
('alpaca-paper', 'haghani-44') | -6.38 | 8 | -0.797 | +0.00 | 0 | 313
('alpaca-paper', 'haghani-h426990') | -6.32 | 3 | -2.108 | +0.00 | 0 | 134
('alpaca-paper', 'krasker-14') | -5.00 | 1 | -5.000 | +0.00 | 0 | 9
('alpaca-paper', 'haghani-54') | -4.49 | 7 | -0.642 | +0.00 | 0 | 275
('alpaca-paper', 'krasker-8') | -4.00 | 1 | -4.000 | +0.00 | 0 | 11
('alpaca-paper', 'haghani-46') | -3.64 | 14 | -0.260 | +0.00 | 0 | 277
('alpaca-paper', 'krasker-9') | +0.00 | 0 | +nan | -3.00 | 1 | 29
('alpaca-paper', 'rosenfeld-h19e436') | -2.85 | 2 | -1.427 | +0.00 | 0 | 98
('alpaca-paper', 'rosenfeld-he2ab61') | -2.78 | 2 | -1.392 | +0.00 | 0 | 131

### best 12 agents by P&L
('kalshi-shadow', 'huang-h51fdd3-2') | +10.40 | 4 | house +0.00
('kalshi', 'mullins-2') | +3.60 | 6 | house +0.00
('kalshi-shadow', 'meriwether-39') | +3.10 | 3 | house +0.00
('kalshi-shadow', 'mullins-13') | +2.50 | 4 | house +0.00
('kalshi-shadow', 'mullins-6') | +1.80 | 3 | house +0.00
('alpaca-paper', 'haghani-56') | +1.72 | 5 | house +0.00
('alpaca-paper', 'krasker-7') | +1.00 | 1 | house +0.00
('kalshi', 'mullins-6') | +1.00 | 2 | house +0.00
('kalshi-shadow', 'huang-hd8ff7c') | +0.94 | 1 | house +0.00
('kalshi-shadow', 'meriwether-17') | +0.00 | 0 | house +0.75
('kalshi-shadow', 'mullins-11') | +0.00 | 0 | house +0.60
('kalshi-shadow', 'mullins-12') | +0.60 | 1 | house +0.00
